player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,cluster_label
Freddie Gillespie,TOR,24.0,205.74,111.13004,Baylor,USA,Undrafted,Undrafted,Undrafted,20,5.6,4.9,0.5,-9.6,0.1,0.142,0.12,0.563,0.034,2020-21,2
Gary Trent Jr.,TOR,22.0,195.58,94.800728,Duke,USA,2018,2,37,58,15.3,2.6,1.4,-1.8,0.0139999999999999,0.069,0.204,0.534,0.067,2020-21,3
Gary Harris,ORL,26.0,193.04,95.25432,Michigan State,USA,2014,1,19,39,9.9,2.0,2.0,-4.2,0.019,0.054,0.1639999999999999,0.511,0.102,2020-21,0
Gary Clark,PHI,26.0,198.12,102.0582,Cincinnati,USA,Undrafted,Undrafted,Undrafted,39,3.1,2.9,0.8,-7.7,0.044,0.125,0.0969999999999999,0.436,0.064,2020-21,0
Garrett Temple,CHI,35.0,195.58,88.45044,Louisiana State,USA,Undrafted,Undrafted,Undrafted,56,7.6,2.9,2.2,1.5,0.019,0.0819999999999999,0.126,0.525,0.104,2020-21,0
Gabe Vincent,MIA,25.0,190.5,90.7184,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,50,4.8,1.1,1.3,-5.9,0.016,0.068,0.184,0.498,0.161,2020-21,0
Frank Ntilikina,NYK,22.0,193.04,90.7184,International,France,2017,1,8,33,2.7,0.9,0.6,-3.6,0.019,0.077,0.134,0.512,0.095,2020-21,0
George Hill,PHI,35.0,193.04,85.275296,Indiana-Purdue Indianapolis,USA,2008,1,26,30,8.7,2.0,2.4,-0.4,0.023,0.063,0.161,0.596,0.156,2020-21,3
Furkan Korkmaz,PHI,23.0,200.66,91.625584,International,Turkey,2016,1,26,55,9.1,2.1,1.5,6.0,0.015,0.09,0.195,0.544,0.111,2020-21,0
Fred VanVleet,TOR,27.0,185.42,89.357624,Wichita State,USA,Undrafted,Undrafted,Undrafted,52,19.6,4.2,6.3,3.3,0.016,0.1009999999999999,0.237,0.534,0.264,2020-21,1
Garrison Mathews,WAS,24.0,195.58,97.52228,Lipscomb,USA,Undrafted,Undrafted,Undrafted,64,5.5,1.4,0.4,-5.6,0.015,0.065,0.111,0.635,0.032,2020-21,0
Georges Niang,UTA,28.0,200.66,104.32616,Iowa State,USA,2016,2,50,72,6.9,2.4,0.8,14.6,0.024,0.1169999999999999,0.1689999999999999,0.602,0.071,2020-21,0
Grayson Allen,MEM,25.0,193.04,89.811216,Duke,USA,2018,1,21,50,10.6,3.2,2.2,0.5,0.0139999999999999,0.106,0.1639999999999999,0.586,0.1159999999999999,2020-21,0
Glenn Robinson III,SAC,27.0,198.12,100.697424,Michigan,USA,2014,2,40,23,5.3,2.0,0.9,-17.3,0.0279999999999999,0.094,0.135,0.5539999999999999,0.075,2020-21,0
Goga Bitadze,IND,21.0,210.82,113.398,International,Georgia,2019,1,18,45,5.1,3.3,0.8,-0.8,0.095,0.148,0.1689999999999999,0.523,0.087,2020-21,0
Goran Dragic,MIA,35.0,190.5,86.18248,International,Slovenia,2008,2,45,50,13.4,3.4,4.4,1.5,0.019,0.107,0.239,0.552,0.26,2020-21,3
Gordon Hayward,CHA,31.0,200.66,102.0582,Butler,USA,2010,1,9,44,19.6,5.9,4.1,0.7,0.024,0.143,0.235,0.584,0.1889999999999999,2020-21,1
Gorgui Dieng,SAS,31.0,208.28,114.305184,Louisville,Senegal,2013,1,21,38,6.8,3.7,1.3,-6.7,0.068,0.181,0.1689999999999999,0.67,0.13,2020-21,2
Grant Williams,BOS,22.0,198.12,107.047712,Tennessee,USA,2019,1,22,63,4.7,2.8,1.0,-1.9,0.04,0.113,0.12,0.546,0.079,2020-21,0
Hamidou Diallo,DET,22.0,195.58,91.625584,Kentucky,USA,2018,2,45,52,11.6,5.2,1.9,-8.6,0.046,0.161,0.218,0.541,0.133,2020-21,3
Harrison Barnes,SAC,29.0,203.2,102.0582,North Carolina,USA,2012,1,7,58,16.1,6.6,3.5,-1.8,0.031,0.152,0.1689999999999999,0.626,0.128,2020-21,3
Hassan Whiteside,SAC,32.0,213.36,120.20188,Marshall,USA,2010,2,33,36,8.1,6.0,0.6,-8.1,0.109,0.2689999999999999,0.2269999999999999,0.5660000000000001,0.0579999999999999,2020-21,2
Harry Giles III,POR,23.0,210.82,108.86208,Duke,USA,2017,1,20,38,2.8,3.5,0.8,-10.4,0.079,0.254,0.154,0.496,0.125,2020-21,2
Giannis Antetokounmpo,MIL,26.0,210.82,109.769264,International,Greece,2013,1,15,61,28.1,11.0,5.9,9.8,0.048,0.264,0.32,0.633,0.282,2020-21,1
